"ACTDATE","FLICODE","DEPARTURE","ARRIVAL","ELAPSEDTIME_FROM_LASTPOINT","ELAPSEDTIME_TOTAL","FLIGHT_LEVEL","TEMPERATURE","FUEL_REMAIN","GROUND_SPEED","WIND_SPEED","TAS","WIND_DIRECTION","HEADING","WAYPOINT","WAYPOINT_ORDER","DISTANCE_FROM_LASTPOINT","LATITUDE","LONGITUDE"
2018-06-06,"BR067","BKK","LHR",8,658,"340","M45",43.2,438,77,490,243,282,"SIBVU",70,59,38.745,45.7833333333333
2018-06-06,"BR067","BKK","LHR",11,709,NA,NA,NA,NA,NA,NA,NA,NA,"-LTAA ANKARA_FIR",71,82,39.2916666666667,44.1833333333333
2018-06-06,"BR067","BKK","LHR",1,710,"340","M47",41.7,445,65,488,241,282,"AGINA",72,5,39.3233333333333,44.0866666666667
2018-06-06,"BR067","BKK","LHR",7,717,"340","M48",40.8,451,54,486,240,280,"ARI",73,53,39.645,43.0266666666667
2018-06-06,"BR067","BKK","LHR",2,719,"340","M49",40.5,447,50,486,240,273,"INBAT",74,15,39.7033333333333,42.7083333333333
2018-06-06,"BR067","BKK","LHR",6,725,"340","M49",39.8,449,47,484,240,273,"TAVUS",75,46,39.87,41.7366666666667
2018-06-06,"BR067","BKK","LHR",3,728,"340","M50",39.4,451,43,484,240,273,"ERZ",76,25,39.9566666666667,41.2066666666667
2018-06-06,"BR067","BKK","LHR",10,738,"340","M50",38.1,459,38,482,239,282,"SONAD",77,76,40.4183333333333,39.6766666666667
2018-06-06,"BR067","BKK","LHR",1,739,"360","M52",37.9,458,36,480,241,281,"T_O_S",78,10,40.4766666666667,39.4766666666667
2018-06-06,"BR067","BKK","LHR",4,743,"360","M54",37.4,456,39,480,240,281,"BAMLA",79,28,40.64,38.9033333333333
2018-06-06,"BR067","BKK","LHR",15,758,"360","M55",35.6,454,33,480,252,281,"CRM",80,113,41.265,36.5483333333333
2018-06-06,"BR067","BKK","LHR",12,810,"360","M55",34.1,457,26,478,260,281,"GOKPA",81,93,41.7466666666667,34.595
2018-06-06,"BR067","BKK","LHR",6,816,"360","M56",33.5,460,21,478,259,280,"INB",82,42,41.9516666666667,33.7066666666667
2018-06-06,"BR067","BKK","LHR",3,819,"360","M55",33,464,17,478,255,277,"ADUMU",83,29,42.0716666666667,33.0783333333333
2018-06-06,"BR067","BKK","LHR",5,824,"360","M55",32.4,469,12,478,247,278,"GIPDA",84,40,42.2466666666667,32.205
2018-06-06,"BR067","BKK","LHR",1,825,"360","M55",32.3,472,9,478,251,278,"ASBEP",85,4,42.2633333333333,32.1233333333333
2018-06-06,"BR067","BKK","LHR",6,831,"360","M55",31.6,475,7,480,227,278,"EVGEG",86,47,42.4566666666667,31.1083333333333
2018-06-06,"BR067","BKK","LHR",0,831,NA,NA,NA,NA,NA,NA,NA,NA,"-LTBB ISTANBUL_FIR",87,5,42.4766666666667,31
2018-06-06,"BR067","BKK","LHR",5,836,NA,NA,NA,NA,NA,NA,NA,NA,"-LBSR SOFIA_FIR",88,34,42.61,30.265
2018-06-06,"BR067","BKK","LHR",0,836,"360","M55",31.1,481,4,478,183,278,"ODERO",89,0,42.61,30.265
2018-06-06,"BR067","BKK","LHR",10,846,NA,NA,NA,NA,NA,NA,NA,NA,"-LRBB BUCHAREST_FIR",90,83,43.73,29.1466666666667
2018-06-06,"BR067","BKK","LHR",0,846,"360","M55",29.9,490,15,478,107,319,"REVDA",91,0,43.7333333333333,29.1433333333333
2018-06-06,"BR067","BKK","LHR",5,851,"360","M54",29.2,497,24,478,99,315,"CND",92,44,44.285,28.4783333333333
2018-06-06,"BR067","BKK","LHR",13,904,"360","M54",27.7,495,19,478,95,307,"URELA",93,109,45.4966666666667,26.5616666666667
2018-06-06,"BR067","BKK","LHR",28,932,"360","M55",24.4,476,7,478,229,291,"MEGIK",94,220,47.2083333333333,21.8616666666667
2018-06-06,"BR067","BKK","LHR",0,932,NA,NA,NA,NA,NA,NA,NA,NA,"-LHCC BUDAPEST_FIR",95,1,47.2183333333333,21.8366666666667
2018-06-06,"BR067","BKK","LHR",15,947,NA,NA,NA,NA,NA,NA,NA,NA,"-LZBB BRATISLAVA_FIR",96,112,48.085,19.3833333333333
2018-06-06,"BR067","BKK","LHR",0,947,"360","M55",22.7,460,27,478,248,290,"AMRAX",97,1,48.0916666666667,19.3666666666667
2018-06-06,"BR067","BKK","LHR",3,950,"360","M56",22.4,460,31,478,248,NA,"E.ETP3",98,23,48.315,18.8983333333333
2018-06-06,"BR067","BKK","LHR",8,958,NA,NA,NA,NA,NA,NA,NA,NA,"-LKAA PRAGUE_FIR",99,58,48.865,17.71
2018-06-06,"BR067","BKK","LHR",0,958,"360","M56",21.5,460,31,478,248,297,"LALES",100,0,48.865,17.71
2018-06-06,"BR067","BKK","LHR",2,1000,"360","M56",21.2,453,32,478,252,286,"BABUS",101,18,48.98,17.3016666666667
2018-06-06,"BR067","BKK","LHR",3,1003,"360","M56",20.9,452,32,478,256,286,"BNO",102,26,49.15,16.6933333333333
2018-06-06,"BR067","BKK","LHR",2,1005,"380","M57",20.6,446,32,476,268,288,"T_O_S",103,11,49.2283333333333,16.4316666666667
2018-06-06,"BR067","BKK","LHR",13,1018,"380","M59",19,449,29,476,266,288,"ELMEK",104,102,49.9033333333333,14.03
2018-06-06,"BR067","BKK","LHR",6,1024,"380","M59",18.4,448,28,476,276,281,"DONAD",105,41,50.08,13
2018-06-06,"BR067","BKK","LHR",2,1026,"380","M59",18.2,451,26,474,275,293,"SOPGA",106,12,50.1766666666667,12.7183333333333
2018-06-06,"BR067","BKK","LHR",2,1028,"380","M60",18,451,25,474,274,293,"VARIK",107,15,50.2916666666667,12.3816666666667
2018-06-06,"BR067","BKK","LHR",0,1028,NA,NA,NA,NA,NA,NA,NA,NA,"-EDUU RHEIN_UIR",108,0,50.2916666666667,12.3783333333333
2018-06-06,"BR067","BKK","LHR",8,1036,"380","M60",17,452,24,474,270,NA,"E.EXT",109,63,50.7566666666667,10.8966666666667
2018-06-06,"BR067","BKK","LHR",1,1037,"380","M60",16.9,452,24,474,270,292,"TAMEB",110,7,50.8083333333333,10.73
2018-06-06,"BR067","BKK","LHR",2,1039,"380","M60",16.8,453,24,474,263,291,"ROBEL",111,12,50.8983333333333,10.435
2018-06-06,"BR067","BKK","LHR",4,1043,"380","M59",16.3,455,24,474,260,291,"KEMAD",112,32,51.1233333333333,9.675
2018-06-06,"BR067","BKK","LHR",3,1046,NA,NA,NA,NA,NA,NA,NA,NA,"-EDVV HANNOVER_UIR",113,24,51.3333333333333,9.12666666666667
2018-06-06,"BR067","BKK","LHR",8,1054,"380","M59",15,461,20,474,256,297,"HMM",114,62,51.8566666666667,7.70833333333333
2018-06-06,"BR067","BKK","LHR",4,1058,"380","M58",14.6,467,11,476,255,293,"REBGU",115,30,52.0733333333333,6.97
2018-06-06,"BR067","BKK","LHR",0,1058,NA,NA,NA,NA,NA,NA,NA,NA,"-EHAA AMSTERDAM_FIR",116,6,52.1133333333333,6.83333333333333
2018-06-06,"BR067","BKK","LHR",1,1059,"380","M58",14.5,470,7,476,251,293,"RELBI",117,1,52.1183333333333,6.81333333333333
2018-06-06,"BR067","BKK","LHR",0,1059,"380","M58",14.5,470,7,476,251,294,"RKN",118,2,52.1333333333333,6.76333333333333
2018-06-06,"BR067","BKK","LHR",5,1104,"380","M58",13.9,470,6,476,270,262,"RENDI",119,40,52.0616666666667,5.675
2018-06-06,"BR067","BKK","LHR",12,1116,"380","M59",12.6,473,2,474,310,264,"T_O_D",120,93,51.9233333333333,3.17166666666667
2018-06-06,"BR067","BKK","LHR",0,1116,"DES","M59",12.6,473,2,NA,310,264,"GORLO",121,0,51.9233333333333,3.17166666666667
2018-06-06,"BR067","BKK","LHR",2,1118,"DES","M55",12.6,466,5,NA,33,250,"REFSO",122,20,51.81,2.66666666666667
2018-06-06,"BR067","BKK","LHR",2,1120,"DES","M45",12.6,446,9,NA,38,265,"ULKOK",123,10,51.795,2.41166666666667
2018-06-06,"BR067","BKK","LHR",1,1121,NA,NA,NA,NA,NA,NA,NA,NA,"-EGTT LONDON_UIR",124,7,51.785,2.225
2018-06-06,"BR067","BKK","LHR",0,1121,"DES","M40",12.5,426,7,NA,43,265,"XAMAN",125,0,51.785,2.225
2018-06-06,"BR067","BKK","LHR",1,1122,NA,NA,NA,NA,NA,NA,NA,NA,"-EGTT LONDON_FIR",126,8,51.7716666666667,2.00333333333333
2018-06-06,"BR067","BKK","LHR",2,1124,"DES","M30",12.5,408,6,NA,71,264,"LOGAN",127,15,51.7483333333333,1.61166666666667
2018-06-06,"BR067","BKK","LHR",3,1127,"DES","M18",12.4,375,6,NA,110,263,"TRIPO",128,20,51.7133333333333,1.08333333333333
2018-06-06,"BR067","BKK","LHR",1,1128,"DES","M11",12.4,375,7,NA,127,263,"SABER",129,5,51.7033333333333,0.95
2018-06-06,"BR067","BKK","LHR",2,1130,"DES","M06",12.3,374,7,NA,130,263,"BRASO",130,10,51.685,0.683333333333333
2018-06-06,"BR067","BKK","LHR",3,1133,"DES","P01",12.2,325,6,NA,137,263,"LAM",131,20,51.6466666666667,0.151666666666667
2018-06-06,"BR067","BKK","LHR",15,1148,"DES","P12",11.3,224,5,NA,112,246,"EGLL",132,55,51.4783333333333,-0.461666666666667
